id_pago,cantidad_minima_pago,cantidad_sin_intereses,cantidad_total,fecha_corte,fecha_pago,fecha_movimiento,id_tarjeta
4154064254,1582.2,6328.8,7911,2024-03-11,2024-04-01,2024-03-21,5
6149269464,2986.8,11947.2,14934,2024-08-06,2024-08-26,2024-08-25,25
4600167983,1775.6,7102.4,8878,2024-06-26,2024-07-16,2024-06-17,61
3625539744,1168.6,4674.4,5843,2024-06-14,2024-07-04,2024-06-30,28
10863690134,2256.2,9024.8,11281,2024-05-24,2024-06-17,2024-05-14,34
10720123652,1964,7856,9820,2024-09-04,2024-09-24,2024-09-23,22
10338987100,653.6,2614.4,3268,2024-10-10,2024-10-30,2024-10-11,84
3733637388,2562,10248,12810,2024-07-12,2024-08-01,2024-07-22,30
8977524251,1009.8,4039.2,5049,2024-01-22,2024-02-12,2024-01-11,51
3817385062,2498.8,9995.2,12494,2024-06-10,2024-07-01,2024-06-28,90
6168054349,1887.6,7550.4,9438,2024-12-24,2025-01-15,2024-12-10,10
10135793421,1462.6,5850.4,7313,2024-10-11,2024-10-31,2024-10-31,50
9642325191,2551.6,10206.4,12758,2024-11-11,2024-12-02,2024-11-13,71
1825913032,2134.4,8537.6,10672,2024-04-12,2024-05-02,2024-04-13,101
3630487691,1572,6288,7860,2024-10-11,2024-10-31,2024-10-13,30
3426757043,2333.6,9334.4,11668,2024-02-23,2024-03-14,2024-02-07,23
9380333108,1411.2,5644.8,7056,2024-02-22,2024-03-13,2024-02-17,32
3067390912,2419.4,9677.6,12097,2024-01-04,2024-01-24,2024-01-23,63
3663122926,866.4,3465.6,4332,2024-12-04,2024-12-24,2024-12-06,59
5191932141,266.4,1065.6,1332,2024-07-01,2024-07-22,2024-07-19,9
1658955197,1538.4,6153.6,7692,2024-05-03,2024-05-23,2024-05-23,37
5863424479,1527.8,6111.2,7639,2024-04-04,2024-04-24,2024-04-02,78
4349286914,2302.6,9210.4,11513,2024-06-25,2024-07-15,2024-06-17,81
7056877342,1733.4,6933.6,8667,2024-04-01,2024-04-22,2024-04-17,9
7155327217,3142.8,12571.2,15714,2024-01-04,2024-01-24,2024-01-10,69
3346636639,1371.6,5486.4,6858,2024-05-10,2024-05-30,2024-05-31,90
7056733813,1852.6,7410.4,9263,2024-04-12,2024-05-02,2024-04-10,101
7477400236,2618,10472,13090,2024-07-04,2024-07-24,2024-07-26,2
1093473097,2579.6,10318.4,12898,2024-09-13,2024-10-03,2024-09-10,101
7923854643,877.6,3510.4,4388,2024-03-04,2024-03-25,2024-03-15,75
10530306005,487,1948,2435,2024-09-10,2024-09-30,2024-09-30,100
8977503905,2669.6,10678.4,13348,2024-07-04,2024-07-24,2024-07-09,31
2863055480,1481,5924,7405,2024-12-11,2024-12-31,2024-12-02,47
7981662975,2783,11132,13915,2024-03-08,2024-04-01,2024-03-28,52
9679094958,516.6,2066.4,2583,2024-01-25,2024-02-14,2024-01-23,53
8769463978,300,1200,1500,2024-05-14,2024-06-03,2024-05-01,66
2426917590,773.2,3092.8,3866,2024-03-11,2024-04-01,2024-03-10,40
10785595638,2507,10028,12535,2024-07-12,2024-08-01,2024-07-13,30
10447941606,1422,5688,7110,2024-06-04,2024-06-24,2024-06-08,37
3310255445,3054.8,12219.2,15274,2024-11-04,2024-11-25,2024-11-01,46
5150839176,2484,9936,12420,2024-12-10,2024-12-30,2024-12-06,85
8389561082,1201.2,4804.8,6006,2024-06-10,2024-07-01,2024-06-08,38
3848860499,2535,10140,12675,2024-09-04,2024-09-24,2024-09-30,63
1069801483,686.2,2744.8,3431,2024-08-09,2024-08-29,2024-08-30,40
5764689016,1249.2,4996.8,6246,2024-08-02,2024-08-22,2024-08-30,78
9183779751,2920.4,11681.6,14602,2024-03-13,2024-04-02,2024-03-23,101
6340093765,3129.8,12519.2,15649,2024-05-24,2024-06-17,2024-05-14,44
7325689557,1956.8,7827.2,9784,2024-07-10,2024-07-30,2024-07-12,91
9892258939,2777.4,11109.6,13887,2024-01-04,2024-01-24,2024-01-05,70
6614232056,444.4,1777.6,2222,2024-03-12,2024-04-01,2024-03-19,30
1496749266,877.6,3510.4,4388,2024-10-10,2024-10-30,2024-10-20,38
8773787184,2511.4,10045.6,12557,2024-05-10,2024-05-30,2024-05-31,30
3404503273,2918.8,11675.2,14594,2024-05-10,2024-05-30,2024-05-17,40
7379551487,1771.2,7084.8,8856,2024-05-03,2024-05-23,2024-05-20,46
5109669527,1282.2,5128.8,6411,2024-07-12,2024-08-01,2024-07-15,16
2502886949,1849.6,7398.4,9248,2024-04-25,2024-05-15,2024-04-30,76
8644629289,1426.8,5707.2,7134,2024-02-09,2024-02-29,2024-02-08,95
6212763578,1840.4,7361.6,9202,2024-02-23,2024-03-14,2024-02-06,10
8218537103,3091,12364,15455,2024-02-02,2024-02-26,2024-02-04,78
9899679676,1104.4,4417.6,5522,2024-12-11,2024-12-31,2024-12-17,30
5184141511,2732,10928,13660,2024-06-04,2024-06-24,2024-06-21,78
6758410974,536.6,2146.4,2683,2024-10-11,2024-10-31,2024-10-22,16
4633923149,607.4,2429.6,3037,2024-11-04,2024-11-25,2024-11-24,55
2704993151,1123.6,4494.4,5618,2024-02-09,2024-02-29,2024-02-14,47
7146401825,1272,5088,6360,2024-09-11,2024-10-02,2024-09-26,27
