id_transferencia,cantidad,cuenta_emisora,cuenta_receptora,fecha_movimiento
5867782048,9859.02,86,321,2022-01-02
6037635446,9252.79,181,101,2023-08-06
4367378799,4022.87,582,598,2022-05-03
8341697171,1739.6,260,258,2023-02-01
3818489605,4895.94,985,858,2022-10-01
6287257203,3716.65,489,806,2022-03-02
1915885843,7715.8,322,433,2023-03-01
7923524996,3025.04,1119,1171,2022-11-05
6649482908,2765.66,541,542,2022-03-01
7464619841,4907.75,274,275,2024-11-04
8360150548,373.41,128,129,2023-04-06
8163902605,8797.82,305,465,2022-10-02
2793140802,9698.85,425,59,2023-01-03
4046725559,8905.73,1155,1067,2022-02-04
7390844582,6458.32,261,53,2025-01-01
7519311194,9406.49,826,1173,2024-06-01
9353134741,4609.55,425,59,2024-10-01
3544104285,4464.94,122,124,2023-03-01
10276442741,1028,331,892,2024-07-06
10508024210,2900.67,331,892,2023-04-06
9907640133,9737.83,389,166,2022-08-01
6701464736,1711.22,610,817,2022-01-03
9794032549,9407.39,876,143,2022-09-02
1436592822,9993.35,376,378,2023-04-06
9123731566,3740.49,376,377,2023-02-05
5424248242,8441.38,279,888,2024-04-05
6177092510,8037.67,636,1117,2024-03-06
10588587598,3904.33,323,324,2024-07-02
4040707467,9674.1,107,337,2025-01-05
3607903820,8385.18,128,129,2024-08-03
6653204045,4724.61,1033,945,2024-01-04
10162928531,602.94,74,76,2023-03-05
7287411565,7965.45,297,1051,2023-04-02
10437329802,3273.94,1148,85,2024-01-06
7112170206,2612.23,946,904,2022-05-04
5250731016,2990.25,309,308,2024-04-03
2283326031,6439.68,234,766,2023-02-05
7176986552,7337.79,279,342,2024-04-04
4937969009,6433.86,1033,1008,2022-03-01
10475212615,8799.3,324,322,2023-06-05
6952825914,2563.69,47,46,2023-10-05
3271951993,2897.02,122,124,2022-01-04
5734645914,1344.64,261,53,2022-11-04
9307228697,2429.26,582,588,2023-03-01
8200639487,5740.98,860,1156,2022-03-05
4155969149,5434.26,262,263,2022-03-05
2813654796,7250.6,322,433,2023-06-01
10565487454,3745.72,128,129,2024-08-02
10377895362,2822.55,815,1083,2023-05-02
9242423332,2154.29,260,258,2022-07-06
5631602000,7089.19,524,630,2023-11-03
1922627255,6097,425,763,2023-01-06
3316430134,3150.48,1046,485,2022-01-04
8568360270,8504.17,550,476,2024-07-01
5979043191,3294.69,297,1051,2022-01-05
6637019579,6986.18,498,500,2024-09-04
6065598469,9513.18,421,632,2023-08-01
7640443765,1498.78,627,184,2023-05-01
1280599675,804.01,1040,1041,2022-01-01
8695973214,1678.47,389,166,2024-06-03
4638690305,6351.67,551,924,2023-01-01
7058088439,8881.05,136,137,2023-09-04
8147337871,2856.47,542,541,2023-04-03
10963509679,4767.05,262,186,2022-08-04
6082663925,4327.17,841,1142,2023-03-02
1512392296,5512.4,260,258,2022-11-04
4115314343,3177.65,389,166,2022-01-01
2396412226,3485.38,971,493,2022-01-02
2158282097,497.94,1006,695,2023-02-01
10539375894,4822,826,1173,2024-11-04
6644879398,637.17,122,124,2023-08-01
3300525360,9700.16,181,182,2022-10-05
8237954672,673.95,128,129,2024-07-05
1173332251,6199.51,759,478,2022-08-03
7383900952,7351.02,541,542,2023-01-04
10721417145,8492.18,297,504,2024-09-05
7895462457,2915.16,376,378,2024-08-04
4564103466,9244.35,112,886,2022-03-04
10109477808,8165.09,985,858,2024-11-03
1883243093,951.83,551,924,2022-01-01
3697694296,9454.19,403,412,2022-10-04
7655007140,2074.41,305,465,2022-01-01
